,value
number_of_boosting_rounds,155
learning_rate,0.1
depth,4
l2_leaf_reg,5.0
random_strength,1.0
border_count,64
max_ctr_complexity,4
subsample,1.0
scale_pos_weight,2.0
boosting_type,Plain
bootstrap_type,MVS
