feature,importance
discharge_group,25.549649568547768
number_inpatient,21.404389202190096
age_group,8.507393047107888
time_in_hospital,7.589540175080409
primary_diagnosis,5.557949779212286
num_medications,4.322943809569108
number_diagnoses,3.888444395165295
num_lab_procedures,3.710783823252112
admission_source_group,3.4617671096290334
diabetesMed,3.0010161597993403
medical_specialty_group,2.959604415467122
number_emergency,2.8672637228291245
num_procedures,2.219864829522942
hba1c_group,2.138012538848869
race_group,1.218084144748479
number_outpatient,1.0322560111798242
max_glu_serum,0.29315970865414065
gender,0.2778775591961488
