,coef,odds_ratio,ci_lower,ci_upper,p_value
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Injury]",0.376055990393388,1.456528683102023,0.5647390214601657,3.75655962149333,0.43660510299096666
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Injury]",-0.6244217337218407,0.5355710416638949,0.32281837080084674,0.8885378485659502,0.0156275369431943
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Musculoskeletal]",0.7889117294117114,2.200999839035124,1.0962323698283933,4.419136329819376,0.026533281786156174
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Musculoskeletal]",0.9251429870683368,2.5222288806888358,0.899799444133356,7.070062743490673,0.07854467932875035
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Musculoskeletal]",-0.08776588262708422,0.915975297352821,0.5289750511233137,1.5861064592345022,0.7540511028936377
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Neoplasms]",-0.15156627541932688,0.8593609258798276,0.29783004296271887,2.4796061323520573,0.7792183495466493
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Neoplasms]",0.8703778472443746,2.3878129116221998,0.6650362165114599,8.573443610061554,0.1820326019249452
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Neoplasms]",0.16131265291325586,1.1750522949113242,0.6479834513018845,2.1308382073682037,0.5952856918567371
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Other]",0.25115505001712896,1.2855093871323389,0.8614557576586247,1.9183044163484755,0.21878851902416263
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Other]",0.718507629162891,2.0513695210826257,1.1563453554246352,3.639152345175848,0.014024517755678707
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Other]",-0.11980481351845883,0.8870935684925487,0.6179145353298088,1.273533723949092,0.5160979519194264
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Respiratory]",0.3416748649360028,1.4073026596807623,0.895772236593153,2.2109423523516307,0.13823084579840644
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Respiratory]",0.4694575913889537,1.599126577911613,0.8327707891108084,3.070719873488556,0.15846763534209674
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]:C(diag1_group, Treatment(reference=""Diabetes""))[T.Respiratory]",-0.5154418767403973,0.5972366313270165,0.395168303113551,0.9026320962193869,0.014440687419020942
time_in_hospital,0.031104389696890236,1.0315931859659722,1.0224794712588094,1.0407881343781609,6.4197882606518974e-12
