,value
number_of_boosting_rounds,172
learning_rate,0.03
depth,5
l2_leaf_reg,10.0
random_strength,2.0
border_count,64
max_ctr_complexity,1
subsample,1.0
scale_pos_weight,1.0
boosting_type,Plain
bootstrap_type,MVS
