learning_rate,selected_iterations,best_iteration_zero_based,early_stop_auprc,early_stop_auroc,early_stop_brier_score
0.03,172,171,0.15257690483433453,0.6201578500883884,0.08011736645454148
0.08,113,112,0.1522780174934641,0.6187994962120489,0.08004294620927478
0.1,105,104,0.15207695070593188,0.6188989006528078,0.08004728590648666
0.02,370,369,0.15171819236370368,0.6202829296726593,0.0800745294037082
0.05,106,105,0.15127087114670001,0.619714953862808,0.0801125728853203
