model,original_weight,new_cv_selected_weight,original_cv_auprc,new_cv_auprc,cv_auprc_change,original_val_fpr,new_val_fpr,val_fpr_change,original_val_precision,new_val_precision,original_val_brier,new_val_brier
Regularised Logistic Regression,manual_1,manual_2,0.1514750550581429,0.15155012416926922,7.506911112631354e-05,0.6394317557491562,0.6346440624754729,-0.0047876932736833355,0.10990931934884737,0.1106467223933128,0.08063460395278726,0.08670876016919263
Decision Tree,balanced,manual_1,0.13980382722583462,0.1401436472578654,0.00033982003203078537,0.6885644768856448,0.6980613766580331,0.009496899772388323,0.103789968331801,0.10351779054530794,0.2370775065651397,0.08091080055084748
Random Forest,manual_1,manual_1,0.1520746516245111,0.1520746516245111,0.0,0.6450828035476023,0.6450828035476023,0.0,0.10905149051490515,0.10905149051490515,0.08044716024446195,0.08044716024446195
XGBoost,manual_6,manual_10,0.15146547030283036,0.1519086815698888,0.00044321126705842984,0.6417863589985088,0.6381759673495017,-0.0036103916490071164,0.10955025590765545,0.1101017839553464,0.1554439812898636,0.23079650104045868
