model,weight_label,weight_type,positive_to_negative_ratio,cv_mean_auprc,cv_mean_auroc,cv_mean_brier,val_threshold,val_recall,val_precision,val_false_positive_rate,val_f2,val_brier_score,val_calibration_intercept,val_calibration_slope
Regularised Logistic Regression,manual_2,manual,2.0,0.15155012416926922,0.6331730991797706,0.08590845304464292,0.12555951584541236,0.8003182179793158,0.1106467223933128,0.6346440624754729,0.3562322946175637,0.08670876016919263,-0.8895623434951336,0.873774752957705
Decision Tree,manual_1,manual,1.0,0.1401436472578654,0.6169962090404562,0.08047263123576273,0.06022659511031604,0.817024661893397,0.10351779054530794,0.6980613766580331,0.3435012375409726,0.08091080055084748,-0.765351649621696,0.6559491146108878
Random Forest,manual_1,manual,1.0,0.1520746516245111,0.6362898400217812,0.08010558402788874,0.07043807295588024,0.8003182179793158,0.10905149051490515,0.6450828035476023,0.35290815968568023,0.08044716024446195,0.48341372547507716,1.2145704383163436
XGBoost,manual_10,manual,10.0,0.1519086815698888,0.6348518068900877,0.22863039672374724,0.406984806060791,0.8003182179793158,0.1101017839553464,0.6381759673495017,0.3551006000705965,0.23079650104045868,-2.2838733196258545,0.8757556676864624
