model,selected_validation_threshold,auprc,auroc,brier_score,validation_recall,test_recall,test_precision,test_specificity,test_false_positive_rate,test_f2,true_positive,false_negative,false_positive,true_negative,flagged_count,flagged_rate
XGBoost,0.3020971715450287,0.15579808373215115,0.6492225906792303,0.1534743336797223,0.8003182179793158,0.7979315831344471,0.11263335204941044,0.3797975041205557,0.6202024958794443,0.3599368405942726,1003,254,7902,4839,8905,0.6361623089012716
Random Forest,0.0726201976053179,0.15870838814246352,0.6506558016493711,0.07993081546587301,0.8003182179793158,0.807478122513922,0.11266511266511267,0.3725767208225414,0.6274232791774585,0.361544489563297,1015,242,7994,4747,9009,0.643591941705958
CatBoost,0.0732060958379917,0.15466291173080784,0.6447084147625819,0.08000854072005775,0.8003182179793158,0.8003182179793158,0.11122166943062466,0.3690448159485127,0.6309551840514873,0.35742201378526256,1006,251,8039,4702,9045,0.646163737676811
FT-Transformer,0.138604387640953,0.15936424181926628,0.6500992448723066,0.0850208091034835,0.8003182179793158,0.8162291169451074,0.11247533435650077,0.36457106977474296,0.635428930225257,0.3625441696113074,1026,231,8096,4645,9122,0.6516645235033576
Regularised Logistic Regression,0.4225832283689996,0.1540824218386505,0.6491094498389273,0.23537766420575054,0.8003182179793158,0.8114558472553699,0.11164623467600701,0.3630013342751746,0.6369986657248253,0.3600677774639932,1020,237,8116,4625,9136,0.6526646663809116
Decision Tree,0.2153846153846154,0.1373896279836393,0.6184175929760768,0.11849206569516943,0.8011137629276054,0.8138424821002387,0.10435580944608794,0.3108861156895063,0.6891138843104937,0.34488571235924753,1023,234,8780,3961,9803,0.7003143306186598
