model,brier_score,calibration_intercept,calibration_slope
Regularised Logistic Regression,0.23537766420575054,-2.3239949823899435,1.1224958552097124
Decision Tree,0.11849206569516943,-1.588686306835539,0.7578778262550283
Random Forest,0.07993081546587301,1.2637057316007472,1.5634317333101118
XGBoost,0.1534743336797223,-1.7329307507140512,1.106941264299075
CatBoost,0.08000854072005775,1.0619371836809877,1.4907415801722432
FT-Transformer,0.0850208091034835,-0.09621376015951308,1.378140747921628
