model,auprc,auroc,brier_score
FT-Transformer,0.15936424181926628,0.6500992448723066,0.0850208091034835
Random Forest,0.15870838814246352,0.6506558016493711,0.07993081546587301
XGBoost,0.15579808373215115,0.6492225906792303,0.1534743336797223
CatBoost,0.15466291173080784,0.6447084147625819,0.08000854072005775
Regularised Logistic Regression,0.1540824218386505,0.6491094498389273,0.23537766420575054
Decision Tree,0.1373896279836393,0.6184175929760768,0.11849206569516943
