epoch,train_loss,validation_auprc,validation_auroc,validation_brier_score
1,0.49106798549725006,0.15291644970653828,0.6353978693100499,0.08238257152809639
2,0.47598598912716705,0.15778896790532645,0.6405242239774613,0.08197284281574949
3,0.4733882957581935,0.1597750315079251,0.6420921425386819,0.08360479379508916
4,0.47138251182180724,0.16054338264441315,0.6429140073521121,0.08549718472597566
5,0.4731299625702999,0.16166984131018525,0.6444917275728488,0.08292216881933591
6,0.4703026088994865,0.1612798663476345,0.6442941330562268,0.08645501385847516
7,0.47018151811032843,0.15992773474299835,0.6426749509483323,0.08573658726715655
8,0.4700705331616471,0.15996606674720382,0.640637159912774,0.0889246690503593
9,0.4703109481343771,0.16077673298685674,0.6431167195493666,0.08321936741433435
10,0.46909453029092024,0.1599724336716526,0.6425573310341359,0.0852349150387277
11,0.47011747611338367,0.15887131975267876,0.6416491595727517,0.08665563793543717
12,0.4687685005634732,0.16035589401176067,0.6441896976751852,0.08183292350944742
13,0.4694793597378314,0.1586012758943868,0.640487619549887,0.08622663631779763
14,0.46943351341787193,0.15982432777563033,0.6429725570881613,0.08491660987252128
15,0.4683161555130898,0.1596788937678107,0.6450172006113459,0.08429344948658272
