learning_rate,selected_n_estimators,early_stop_auprc,early_stop_auroc,early_stop_brier_score,xgboost_best_score
0.03,524,0.15088859327536913,0.6202909097848318,0.15673424303531647,0.15017644869023034
0.02,440,0.148399535187619,0.6211363679733811,0.1564260870218277,0.14767324370748006
0.1,52,0.14765035998073334,0.6206965076600403,0.1561753898859024,0.14693987477052067
0.08,34,0.1469996451540813,0.620703880589765,0.157215416431427,0.14644413765197345
0.05,128,0.14648128472294936,0.6206372640011936,0.1570827215909958,0.14577016434463969
