,value
number_of_trees,500.0
minimum_tree_depth,8.0
median_tree_depth,8.0
mean_tree_depth,8.0
maximum_tree_depth,8.0
minimum_leaf_count,72.0
median_leaf_count,138.0
mean_leaf_count,138.124
maximum_leaf_count,192.0
