rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
40,0.12616666952165956,0.006351581568103881,0.13458731587743214,0.0015832370292332978,log_loss,6,500,25,sqrt,,balanced,1e-05,0.008420646355772582
41,0.12603639002675984,0.0065590586321010655,0.16737136934593302,0.0021661732855788643,entropy,10,20,50,0.5,127,"{0: 1, 1: 2}",1e-05,0.04133497931917318
42,0.12602138444197086,0.004721489944259403,0.13182793405585805,0.0017422041073326604,gini,6,500,100,0.75,15,"{0: 1, 1: 6}",1e-05,0.005806549613887185
43,0.12584714919711332,0.004988050543435033,0.13259238640414767,0.0020409496092339855,log_loss,12,20,10,,15,,1e-05,0.006745237207034349
44,0.12584599232973864,0.003974050761643007,0.13553278757164958,0.0018624353810652436,log_loss,4,20,25,0.75,,,1e-05,0.009686795241910934
45,0.12578283661063555,0.004715819479083766,0.1312187458510378,0.0012369356969164872,log_loss,4,500,200,,15,balanced,0.0001,0.0054359092404022424
46,0.12574838321169984,0.005434019328503848,0.13506713079368193,0.0023618772078878546,log_loss,12,500,400,sqrt,63,,5e-05,0.00931874758198209
47,0.12566109289036995,0.002967966604676094,0.14342960754503037,0.0027345790806948805,entropy,8,500,25,sqrt,127,"{0: 1, 1: 6}",0.0001,0.017768514654660422
48,0.12563047818196726,0.005638763948243144,0.13478921810550323,0.0011660136586319953,log_loss,5,200,25,0.5,,balanced,1e-05,0.009158739923535969
49,0.12557519465217734,0.0050799185789495195,0.1342458113069092,0.0016475113778615668,gini,4,50,100,,127,"{0: 1, 1: 4}",0.0,0.008670616654731872
50,0.125504036349292,0.00497686845253951,0.13372025059855241,0.0019478873861062355,gini,4,100,100,,,"{0: 1, 1: 4}",0.0001,0.008216214249260417
51,0.12542977403179817,0.006217101652266869,0.142387459622328,0.0027487565008328407,entropy,,20,400,0.5,,"{0: 1, 1: 4}",0.0,0.01695768559052982
52,0.12541828593829893,0.004851473588955498,0.13390981480118702,0.0017978029308670707,entropy,4,100,100,0.75,63,"{0: 1, 1: 6}",0.0001,0.008491528862888092
53,0.12541315795757724,0.0035272366942813876,0.15085580415608807,0.002796600200491886,entropy,,50,50,sqrt,127,"{0: 1, 1: 6}",0.0001,0.025442646198510832
54,0.12532009908165737,0.004834964888302749,0.1599178750769275,0.00193538460913264,log_loss,10,500,25,,127,"{0: 1, 1: 2}",0.0001,0.03459777599527014
55,0.12508155569774504,0.004048431250282747,0.12805929643327466,0.002403612618510576,gini,12,500,25,sqrt,127,,5e-05,0.002977740735529616
56,0.12496624315075233,0.006041144530819717,0.13191637671732281,0.00140658440508303,log_loss,5,50,25,0.5,15,,0.0,0.006950133566570482
57,0.12479681411574162,0.0041195067107885,0.12965794349332435,0.0016782926237237396,gini,,500,100,sqrt,15,"{0: 1, 1: 6}",0.0001,0.004861129377582735
58,0.12466997398906399,0.004496904116138527,0.13393590987232795,0.0016124997762122844,entropy,4,20,100,,15,"{0: 1, 1: 6}",5e-05,0.009265935883263965
59,0.1246533320586661,0.005004469837501168,0.13590770740150684,0.0023756146727299983,log_loss,5,20,25,0.5,31,"{0: 1, 1: 2}",0.0,0.011254375342840739
60,0.12415687222129108,0.003928143681660517,0.12809056595028415,0.0008335862237242704,log_loss,3,100,200,0.75,63,"{0: 1, 1: 6}",5e-05,0.003933693728993062
61,0.12386332772908397,0.00428838173251498,0.12740897809470958,0.0012113712830942906,log_loss,3,500,200,0.75,15,"{0: 1, 1: 6}",0.0,0.0035456503656256105
62,0.12361857571311326,0.0044502370073371275,0.12853567739582591,0.0010657857108937276,log_loss,3,20,50,0.75,127,"{0: 1, 1: 4}",1e-05,0.004917101682712657
63,0.12346115471557464,0.004866215548432147,0.12842093083181466,0.004837960406054224,log_loss,8,200,100,0.5,15,"{0: 1, 1: 6}",0.0,0.004959776116240017
64,0.1232142251664933,0.003511577761256036,0.12691375562864143,0.0018065978880724743,entropy,8,50,200,sqrt,63,balanced,0.0005,0.0036995304621481317
65,0.12293540728242851,0.00323646606799652,0.12623486569850692,0.001015738968757051,gini,10,500,400,sqrt,15,balanced,0.0,0.003299458416078413
66,0.12290131348203108,0.002185730309016901,0.12799618448858782,0.002861208462014834,gini,4,200,25,sqrt,63,balanced,0.0001,0.005094871006556742
67,0.12266978118798633,0.0034414848259322014,0.12849664271282552,0.0010864803638039526,log_loss,3,50,25,0.75,31,,0.0,0.005826861524839189
68,0.12251756340516333,0.0031455282883303417,0.126655169612292,0.0016685713527733437,entropy,3,50,200,0.75,31,balanced,0.0005,0.004137606207128677
69,0.12247123280265707,0.0037370608359506164,0.15439549586810603,0.003500544726974976,log_loss,10,20,10,sqrt,127,balanced,5e-05,0.03192426306544896
70,0.12244267547057708,0.006224349758111253,0.134945418758123,0.0011388528113898688,entropy,12,20,200,log2,,"{0: 1, 1: 4}",0.0,0.012502743287545914
