candidate,weight_decay,pos_weight,learning_rate,batch_size,best_epoch,early_stop_auprc,early_stop_auroc,early_stop_brier_score,elapsed_seconds
3,1e-06,2.0,0.0005,1024,9,0.1530488392813967,0.6215844686199438,0.08391931389694693,42.800174951553345
10,1e-05,10.135242641209228,0.001,512,7,0.15292336213540875,0.6225471130209408,0.22064716722003805,38.81321978569031
12,1e-06,6.0,0.0005,1024,4,0.1527861227665569,0.6200297345918779,0.13787515587407964,30.176820993423462
9,0.0001,4.0,0.001,512,5,0.15216725431488767,0.6216963636710597,0.11580969610921588,34.3623628616333
2,1e-06,10.135242641209228,0.0005,256,5,0.1520697607450698,0.6207251319754421,0.23567445533997491,40.91866683959961
8,0.0001,4.0,0.0001,512,7,0.1520113303927121,0.6179307048694298,0.11809641865859216,38.77101993560791
1,1e-05,2.0,0.0003,256,4,0.1519337339150096,0.6203482451559851,0.08363241057129868,34.87673377990723
7,1e-06,6.0,0.0003,256,4,0.15150702853282264,0.6192635570829568,0.16328484518529318,37.86714196205139
11,1e-06,2.0,0.0005,512,3,0.151336940069702,0.6212265779370717,0.08678407625615792,29.904296875
5,1e-05,6.0,0.0003,1024,4,0.1511725400683307,0.6192911405141621,0.15750608918139514,30.610045194625854
6,1e-06,1.0,0.0003,256,7,0.15085916992567977,0.6190631001347946,0.080053605878167,46.21040415763855
4,1e-06,2.0,0.0003,512,4,0.15038559323089187,0.6183259806430237,0.09028000321701117,32.05021905899048
