epoch,train_loss,validation_auprc,validation_auroc,validation_brier_score
1,0.4860597622695495,0.14588530057569726,0.6151684584331572,0.08548031505623187
2,0.47566442584446367,0.15109397504179495,0.6167212841735293,0.09119498121393141
3,0.4727463215894715,0.1529749220286557,0.6204171169936489,0.086639445530434
4,0.47217546620236095,0.15254546606590985,0.621927700183716,0.08545781686232423
5,0.471743056265392,0.1519181005877072,0.620328468356253,0.08421150780462595
6,0.4724324320321652,0.1516201912654134,0.6197587577394077,0.0914495063500384
7,0.47157381664829384,0.1520855988941687,0.6194695654134998,0.08692039402735947
8,0.4707778666694552,0.15233502232039098,0.6201586307515357,0.08544555827987867
9,0.47088285530428287,0.1530488392813967,0.6215844686199438,0.08391931389694693
10,0.47082769901277227,0.1524063036099252,0.6211263928331654,0.08843029805774018
11,0.4704576550736033,0.1521070272504316,0.6198795003061934,0.0869971585486393
12,0.46974543272866953,0.1518504700331362,0.6176324048068033,0.08679035617598893
13,0.46988177466290315,0.15188075623577235,0.6200434395671309,0.08644532537621455
14,0.46953741110600467,0.15218725356821,0.6200155091745267,0.0857856154790202
15,0.47043742357648305,0.15030319867567982,0.6164054625602629,0.08461151117560389
16,0.4694751656518206,0.15111777862846676,0.6206080325033438,0.08856832987430892
17,0.4687096438796272,0.1518755691391012,0.6196627361722872,0.08641201058294827
18,0.4692608277608622,0.1503009607642676,0.6195915223451813,0.08910691064295816
19,0.469372268048432,0.15023015809157017,0.6179313120518777,0.08886691036484853
