candidate,fold,residual_dropout,n_blocks,ffn_dropout,ffn_d_hidden_multiplier,d_block,attention_n_heads,attention_dropout,validation_auprc,validation_auroc,validation_brier_score,best_epoch
1,1,0.0,2,0.0,2.0,96,8,0.1,0.14893832060871287,0.6316811336795308,0.08025516933950824,14
1,2,0.0,2,0.0,2.0,96,8,0.1,0.14597228277472823,0.6255240343742724,0.08029210398757547,3
1,3,0.0,2,0.0,2.0,96,8,0.1,0.14214417187166098,0.6322884080551183,0.08026429212279362,9
1,4,0.0,2,0.0,2.0,96,8,0.1,0.14734524395136567,0.623964397147541,0.08050950127360945,5
1,5,0.0,2,0.0,2.0,96,8,0.1,0.14955631774144135,0.6326899164575053,0.08019063972817388,10
2,1,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.14965912367187906,0.6312950458377781,0.0801405421929257,28
2,2,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.14797028094372017,0.6271756022807882,0.08016945948262778,6
2,3,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.14172774572220714,0.6310334400496834,0.08027133234115533,5
2,4,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.150871225155349,0.6289902355217643,0.08036996078491014,2
2,5,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.1469333652090724,0.6336598555329105,0.08017928475597742,16
3,1,0.1,4,0.0,2.0,96,4,0.3,0.1493544693593981,0.6282246186502629,0.0802584996132538,14
3,2,0.1,4,0.0,2.0,96,4,0.3,0.1477545028206965,0.6275428730783602,0.08031078072126159,3
3,3,0.1,4,0.0,2.0,96,4,0.3,0.14237479181251608,0.6359265270811384,0.08032289821373415,8
3,4,0.1,4,0.0,2.0,96,4,0.3,0.14783639429334003,0.6268049233255907,0.0801895658871014,3
3,5,0.1,4,0.0,2.0,96,4,0.3,0.14831608651875935,0.6337027047916591,0.08034764650268506,6
4,1,0.1,3,0.0,2.0,64,4,0.2,0.1492157511216965,0.6293735413406399,0.08025782738473913,13
4,2,0.1,3,0.0,2.0,64,4,0.2,0.14724408904317107,0.62593137599974,0.08057958949075669,5
4,3,0.1,3,0.0,2.0,64,4,0.2,0.1421010873773519,0.6282837651480944,0.08033029907328121,3
4,4,0.1,3,0.0,2.0,64,4,0.2,0.1480850362363702,0.6242391205596438,0.08041879778333698,5
4,5,0.1,3,0.0,2.0,64,4,0.2,0.14851398450633135,0.6345501980422228,0.08005429342521432,8
5,1,0.1,4,0.0,2.0,64,4,0.1,0.1484869397397996,0.6262090289322207,0.08030229731753853,10
5,2,0.1,4,0.0,2.0,64,4,0.1,0.14581913991195133,0.6268553064064589,0.08024280944292686,7
5,3,0.1,4,0.0,2.0,64,4,0.1,0.1404924870335712,0.6303955827295791,0.0810500087316959,4
5,4,0.1,4,0.0,2.0,64,4,0.1,0.14751239897206803,0.6228459772546372,0.0804892151074204,5
5,5,0.1,4,0.0,2.0,64,4,0.1,0.14799977649030163,0.6326527623534006,0.0802057937008673,12
6,1,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.14982719217702117,0.6323992949700281,0.08016031362981017,29
6,2,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.1479911644778111,0.6279066241410493,0.08013463388543156,6
6,3,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.14113493870470478,0.6312335840557366,0.08024024820559446,8
6,4,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.1471348989040837,0.6247157507637608,0.0801812580362393,8
6,5,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.1484813804116546,0.6355651559590978,0.08014883399189218,8
7,1,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.15049162038486472,0.6275681880946321,0.08016298691879949,28
7,2,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.1476699492262878,0.6284819654199585,0.08015190887238326,7
7,3,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.14196175380549145,0.6331276297715565,0.08046948865765999,21
7,4,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.14632684525312611,0.6221980856144462,0.08033926756921256,7
7,5,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.14824136085393066,0.6354939665260506,0.08031234680302804,17
8,1,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.1492625451596808,0.6307475916890937,0.08017963677467417,21
8,2,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.14656005810583508,0.6253041863185198,0.08046347308313223,3
8,3,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.1408907725031894,0.6281363691219563,0.08035997327507753,4
8,4,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.14560097244271458,0.6211020395433571,0.08040441308284677,4
8,5,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.14985449343931706,0.6342670674970744,0.08012434309195238,12
9,1,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.1498068191221911,0.6313351166656739,0.08020151184529822,21
9,2,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.14801244779484632,0.6291834756569721,0.08016408879974203,8
9,3,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.14135283939368307,0.6311078838568129,0.08022968716560099,5
9,4,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.1460459709809591,0.6241374213695762,0.08029418730647504,3
9,5,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.14715612847628087,0.6371291539034184,0.08011175243077309,4
10,1,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.14940550440793754,0.627931397659647,0.08023209499040623,30
10,2,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.14738726659989324,0.6284359381176458,0.08017662852049781,12
10,3,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.14093680087332594,0.6304026338734239,0.0802165333704993,4
10,4,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.14877893303691994,0.6274434586402953,0.08030091277066119,8
10,5,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.1464622067577634,0.6344815849886571,0.08026116864985174,17
