feature,importance
cat__diag_2_486,0.0009304632660552306
cat__diag_3_493,0.0009194991556391226
cat__diag_2_491,0.0008966304662588254
cat__diag_3_V45,0.0008750175624789359
cat__diag_1_435,0.0008709293082862886
cat__diag_2_250.6,0.0008529596022005993
cat__medical_specialty_Radiologist,0.000844598370651193
cat__diag_3_707,0.0008428521802312229
cat__diag_1_574,0.0008324750137217618
cat__diag_3_424,0.0008143938731342298
cat__max_glu_serum_>200,0.000795503390722018
cat__diag_3_425,0.0007884760447707726
cat__diag_1_562,0.0007754292058018014
cat__repaglinide_Steady,0.0007692090964703928
cat__diag_1_433,0.0007616281086972293
cat__age_group_<=30,0.000758888573735921
cat__metformin_Up,0.0007500247911415101
cat__diag_3_305,0.0007209424625517942
cat__diag_1_296,0.000688995021892047
cat__diag_2_424,0.0006714120198226701
cat__diag_3_518,0.000660988795158777
cat__diag_1_577,0.0006533596391310385
cat__diag_1_558,0.0006476357188454935
cat__diag_2_198,0.0006320562648984712
cat__medical_specialty_Psychiatry,0.0006267460455588888
cat__diag_1_250.7,0.0006177713804358655
cat__age_[20-30),0.0006150026847734394
cat__diag_3_250.01,0.0006137606007007489
cat__medical_specialty_Gastroenterology,0.0005838072182980623
cat__metformin_Down,0.0005773874764390217
cat__medical_specialty_Urology,0.0005692451819487797
cat__diag_1_197,0.0005410882665755536
cat__diag_1_560,0.0005280409246071403
cat__medical_specialty_Surgery-Cardiovascular/Thoracic,0.0005225214042581647
cat__diag_1_295,0.0005194715335214933
cat__diag_1_403,0.0005076343877374725
cat__diag_1_493,0.0004917352383414703
cat__diag_3_584,0.0004888613132766991
cat__diag_1_518,0.0004736908523509043
cat__glyburide_Up,0.00047302425925140767
cat__max_glu_serum_>300,0.0004364039180022297
cat__diag_3_411,0.0004346780380600811
cat__diag_3_41,0.00043155367306164466
cat__diag_1_250.13,0.00042260410880437337
cat__diag_1_507,0.00041213541098078776
cat__diag_3_682,0.00039593763718506037
cat__diag_3_530,0.0003958928728451496
cat__glipizide_Up,0.00038311525695862653
cat__diag_1_722,0.00037451585599411594
cat__glipizide_Down,0.00037002521300310925
cat__glyburide_Down,0.00036482138406627367
cat__diag_2_493,0.00035781101550176413
cat__diag_1_453,0.0003572633912393708
cat__diag_1_250.11,0.0003489804889821833
cat__diag_2_998,0.0003478589921956708
cat__medical_specialty_ObstetricsandGynecology,0.00034553781444216815
cat__diag_1_707,0.0003449028574430602
cat__age_[10-20),0.0003388906043363889
cat__diag_1_250.1,0.00033849531596641825
cat__diag_1_402,0.0003368346528112919
cat__diag_2_410,0.00033495705832605887
cat__diag_1_572,0.0003330799043320499
cat__diag_3_786,0.00033246428047072865
cat__diag_1_162,0.0003308314145534949
cat__diag_3_295,0.0003266826763698998
cat__diag_1_8,0.00032381135532239284
cat__medical_specialty_Pulmonology,0.00032022937253062224
cat__diag_1_824,0.00031561490339552855
cat__diag_1_592,0.00030520880368972486
cat__race_Asian,0.00030226012615222755
cat__diag_1_578,0.00029376073801839857
cat__diag_2_785,0.00029254043298444034
cat__diag_2_571,0.0002766550569324341
cat__diag_1_998,0.00027607896952507055
cat__diag_2_272,0.0002666965331137238
cat__medical_specialty_Hematology/Oncology,0.0002651224095491013
cat__diag_2_V45,0.00026010394478189305
cat__diag_3_486,0.00025826367855015514
cat__diag_2_786,0.00025442930866664105
cat__diag_1_535,0.0002464061296995019
cat__diag_1_511,0.000245389726869473
cat__diag_1_250.82,0.00024500897011637206
cat__medical_specialty_Surgery-Neuro,0.00024498665728285297
cat__diag_2_511,0.00024465167265680165
cat__diag_1_789,0.00024214146308605434
cat__diag_1_642,0.00023886154674185152
cat__diag_2_250.03,0.00023861797206389384
cat__diag_1_153,0.00023739412399033193
cat__diag_3_491,0.0002347962812620586
cat__diag_2_41,0.00023424809230562535
cat__diag_2_280,0.00023128296721265675
cat__diag_2_593,0.00023125603855246149
cat__diag_2_577,0.0002308360043260724
cat__medical_specialty_Surgery-Vascular,0.00022888384756137838
cat__diag_3_357,0.00022853196224537734
cat__diag_3_311,0.0002279266160897796
cat__diag_2_996,0.00022451884725567883
cat__diag_1_571,0.00022383349233237205
cat__diag_1_733,0.00021410569051774094
cat__diag_3_V58,0.00021300993986941928
cat__diag_2_789,0.00020865499836287394
cat__diag_3_536,0.0002061244179238314
cat__diag_2_342,0.00020446336710925245
cat__diag_3_337,0.0002043769966091023
cat__diag_2_295,0.00020380382813761088
cat__diag_3_278,0.0002032607105807261
cat__diag_1_724,0.0001994210664926246
cat__diag_2_162,0.00019482816394882923
cat__diag_2_70,0.0001944797136887061
cat__diag_2_440,0.0001904723300340215
cat__glyburide-metformin_Steady,0.00018952121498624441
