model,accuracy,precision,recall,f1,auroc,auprc,brier_score
Dummy: most frequent,0.9102014573510502,0.0,0.0,0.0,0.5,0.08979854264894985,0.08979854264894985
Logistic Regression,0.6153736248035434,0.12999820692128383,0.5767700875099443,0.21217442200760903,0.635112173336263,0.14854107870676367,0.23594714296114733
Regularised Logistic Regression,0.6185883697671096,0.13304566702624954,0.588703261734288,0.2170406217920516,0.6381830542619599,0.14979324840545777,0.23614176024475111
Random Forest,0.7497499642806115,0.14484503478810878,0.3643595863166269,0.2072867164516859,0.634998470538144,0.14097527329731985,0.18519148131273933
XGBoost,0.6178739819974282,0.13516405135520684,0.6030230708035004,0.22083029861616899,0.6413630486636113,0.1482237645365625,0.22986316680908203
