learning_rate,selected_n_estimators,early_stop_auprc,early_stop_auroc,early_stop_brier_score,xgboost_best_score
0.1,196,0.16117022259438707,0.6478799791129237,0.15222585201263428,0.16009495995873657
0.08,187,0.16082721083448392,0.6474627580308552,0.15218351781368256,0.1601294304557914
0.05,194,0.1584586946394269,0.6463668804527153,0.15308798849582672,0.1574020824810237
0.02,634,0.1574471738245193,0.6459692626896796,0.1531890332698822,0.15641530954407282
0.03,49,0.1551307236762996,0.6390031452050802,0.15536874532699585,0.15618115404020066
