,value
number_of_boosting_rounds,196.0
learning_rate,0.1
max_depth,2.0
min_child_weight,10.0
gamma,1.0
subsample,0.6
colsample_bytree,1.0
reg_alpha,1.0
reg_lambda,20.0
scale_pos_weight,6.0
max_delta_step,1.0
